,start,end,rf,total_return,cagr,max_drawdown,calmar,mtd,three_month,six_month,ytd,one_year,three_year,five_year,ten_year,incep,daily_sharpe,daily_sortino,daily_mean,daily_vol,daily_skew,daily_kurt,best_day,worst_day,monthly_sharpe,monthly_sortino,monthly_mean,monthly_vol,monthly_skew,monthly_kurt,best_month,worst_month,yearly_sharpe,yearly_sortino,yearly_mean,yearly_vol,yearly_skew,yearly_kurt,best_year,worst_year,avg_drawdown,avg_drawdown_days,avg_up_month,avg_down_month,win_year_perc,twelve_month_win_perc
ethereum,2020-10-22 21:00:00,2021-10-19 21:00:00,0.0,8.401184714044536,8.59223306176197,-0.5708669805175268,15.051199937983048,0.2890645493912136,1.1286233385665572,0.7917567605595239,4.25927188315207,,,,,8.59223306176197,2.213510139088794,3.898721731128029,1.9556472008135644,0.8835049662878975,-0.09199500928119904,3.03211133186086,0.24533636250592483,-0.2630248225767148,2.9440716474370947,15.249747886253564,2.904320370271456,0.9864978567351633,0.34108907042587894,-0.3967616074970839,0.783126500624697,-0.15842230577698313,,,4.25927188315207,,,,4.25927188315207,4.25927188315207,-0.09338179407433052,11.576923076923077,0.3568287191202979,-0.10237936727040846,1.0,1.0
solana,2020-10-22 21:00:00,2021-10-19 21:00:00,0.0,79.04080733814513,82.25286761372159,-0.5754876647821396,142.9272470068664,0.10771023247470457,5.3019590924835445,3.9295492386588524,102.17318065082853,,,,,82.25286761372159,2.851224033335103,5.862128552479828,4.05057193298512,1.4206431643490076,0.47321629248879427,2.2579540618789675,0.3701057819415181,-0.36374437892514666,2.621718337416421,24.96004002053981,7.895716259461974,3.011656952913876,0.7818566214656931,-1.1107831199487799,2.056019010066642,-0.24033265568609674,,,102.17318065082853,,,,102.17318065082853,102.17318065082853,-0.13609390622965792,10.033333333333333,0.8364742556301537,-0.23451314841978027,1.0,1.0
inv_vol_weights,2020-10-22 21:00:00,2021-10-19 21:00:00,0.0,16.13732698695393,16.580098400601173,-0.5982113341840012,27.716122134692576,0.14395735717937286,1.6541584423198445,0.6316438135674178,9.230529778069325,,,,,16.580098400601173,2.6246329800021586,4.541545057833723,2.411577492324044,0.9188246549893085,-0.2483352637297326,4.164591590944658,0.26116719123988275,-0.31026756226546326,2.5925387013088996,11.579524776017863,4.182927948272651,1.6134486039343627,0.5500893623479818,0.1295804515398693,1.3097407760226942,-0.34331637256680314,,,9.230529778069325,,,,9.230529778069325,9.230529778069325,-0.10403619593079494,13.090909090909092,0.5231341052785012,-0.17509299974462036,1.0,1.0
risk_parity_weights,2020-10-22 21:00:00,2021-10-19 21:00:00,0.0,17.61687278256462,18.112074399770325,-0.5965140042485357,30.363200647044632,0.137702130870051,1.772775402891464,0.7129948020030215,10.404398250192564,,,,,18.112074399770325,2.666562315660478,4.633472547952614,2.4797963335959348,0.9299600159472428,-0.22915921471783357,4.155717151125485,0.26229856369146565,-0.3127699989394892,2.5918898677162527,11.985857770676942,4.353289651081933,1.6795812604945564,0.5970673086450468,0.11107694214373698,1.366129066994136,-0.3461002402589466,,,10.404398250192564,,,,10.404398250192564,10.404398250192564,-0.09250851315544137,11.48,0.53968848618696,-0.16796890820023547,1.0,1.0
bitcoin,2020-10-22 21:00:00,2021-10-19 21:00:00,0.0,3.9816561708332907,4.053993765123121,-0.5285707644693362,7.669727570334254,0.471013219487896,1.086045218215892,0.1578660880751901,1.2230279944851783,,,,,4.053993765123121,2.001749790122992,3.634494827278831,1.344004316234256,0.6714147406762948,0.10725151958432816,1.540016692603018,0.19246950702977883,-0.1346834481177117,2.2416558007933474,5.68248518820393,1.9996823771358438,0.8920559420532507,-0.5548607640541315,-0.27078777309078506,0.480016658475491,-0.35428600712102,,,1.2230279944851783,,,,1.2230279944851783,1.2230279944851783,-0.07540437204654546,14.363636363636363,0.3127885152764481,-0.12565643626893513,1.0,1.0
polkadot,2020-10-22 21:00:00,2021-10-19 21:00:00,0.0,8.712451979994,8.912724247491067,-0.7660303213085297,11.634949687456745,0.4473431186483461,2.5895740602925663,0.18951334302865397,3.424748046959918,,,,,8.912724247491067,1.87440513520737,3.714474810209142,2.358162008402686,1.2580855462401395,0.6749597050587681,4.35624991529603,0.385494538404648,-0.3735994230478964,2.1350369239610174,7.944205430838413,3.5168078743062026,1.6471883154983853,0.25340336163645427,-1.2498946364004349,1.072243131309956,-0.361850212136815,,,3.424748046959918,,,,3.424748046959918,3.424748046959918,-0.14386442402164124,17.36842105263158,0.5351542527563964,-0.19110653693624224,1.0,1.0
mean_var_weights,2020-10-22 21:00:00,2021-10-19 21:00:00,0.0,32.04868490750226,33.1030323997131,-0.7336035873292268,45.12386930962091,0.06594034588276187,0.6654265718278984,-0.11521257350036895,31.55502158120506,,,,,33.1030323997131,2.3051378132265117,4.999768402397774,3.567525438882208,1.5476408475069556,1.1698753135299496,4.291045049574258,0.4862686514886374,-0.32451777369054957,1.9998098277614411,14.43845447171915,8.478122688494869,4.239464458470613,1.5778686649572569,2.488207882738953,3.723621471526392,-0.5623466306890985,,,31.55502158120506,,,,31.55502158120506,31.55502158120506,-0.21023522997504712,21.8,1.196246174764101,-0.2729616774044843,1.0,1.0
pancakeswap-token,2020-10-22 21:00:00,2021-10-19 21:00:00,0.0,32.04868490750226,33.1030323997131,-0.7336035873292268,45.12386930962091,0.06594034588276187,0.6654265718278964,-0.11521257350036995,31.555021581205068,,,,,33.1030323997131,2.3051378132265112,4.999768402397774,3.567525438882211,1.5476408475069572,1.1698753135299496,4.291045049574253,0.4862686514886374,-0.32451777369054946,1.9998098277614405,14.43845447171915,8.478122688494876,4.239464458470618,1.5778686649572569,2.488207882738953,3.7236214715263953,-0.5623466306890986,,,31.555021581205068,,,,31.555021581205068,31.555021581205068,-0.21023522997504737,21.8,1.196246174764102,-0.27296167740448485,1.0,1.0
cardano,2020-10-22 21:00:00,2021-10-19 21:00:00,0.0,18.172560228175126,18.687740899484105,-0.5363222032929461,34.84424248100096,-0.00039837195072878195,0.8757344035821855,0.7707614230988997,10.620780744814247,,,,,18.687740899484105,2.410558601731817,5.07240800346476,2.6445744113177287,1.0970794941130195,0.7387217004558584,2.2826028614564624,0.3089113284102989,-0.24611259257301288,1.8619377962737782,18.51648515892216,5.522794944746975,2.9661543773371615,2.0154980945727257,4.574085280373492,2.770089970599696,-0.24005072698122865,,,10.620780744814247,,,,10.620780744814247,10.620780744814247,-0.16989145299837113,16.473684210526315,0.871004385140416,-0.11484715024718757,1.0,1.0
litecoin,2020-10-22 21:00:00,2021-10-19 21:00:00,0.0,2.4797010360628073,2.5188750185346414,-0.7196997938588832,3.4998968181287764,0.23387683364109768,0.6623988846557354,-0.2785628739557767,0.514138646471624,,,,,2.5188750185346414,1.385304542179383,2.298117273012876,1.3710625690761966,0.9897192475231616,-0.4242272861660026,4.16249054928888,0.27348676713192677,-0.3545961329190924,1.7911246739974882,4.476821558472592,1.6544507649316689,0.9236938047641394,-0.20231919827329387,-0.6778403983836285,0.5686392956140325,-0.30916049726005446,,,0.514138646471624,,,,0.514138646471624,0.514138646471624,-0.1454901836417848,16.894736842105264,0.2557538477366237,-0.21577795489931484,1.0,1.0
binancecoin,2020-10-22 21:00:00,2021-10-19 21:00:00,0.0,14.98293223660408,15.385615746378939,-0.6130015544590627,25.09882011629779,0.2607812423531821,0.7310834449659911,-0.029925492145207788,12.065415495253301,,,,,15.385615746378939,2.1271920047212634,4.576813011058632,2.6316722139523745,1.2371578156139298,2.590112178187491,23.14076062268032,0.7378630795941077,-0.31883594579991725,1.5169071480828349,12.575840636900955,5.740218106572083,3.7841591779872226,2.802787855862835,8.635047826387192,3.740866120858323,-0.4346870944324026,,,12.065415495253301,,,,12.065415495253301,12.065415495253301,-0.1192054106395597,17.05263157894737,0.7204042318960057,-0.2478066601639893,1.0,1.0
