,id,symbol,name
0,01coin,zoc,01coin
1,0-5x-long-algorand-token,algohalf,0.5X Long Algorand Token
2,0-5x-long-altcoin-index-token,althalf,0.5X Long Altcoin Index Token
3,0-5x-long-balancer-token,balhalf,0.5X Long Balancer Token
4,0-5x-long-bitcoin-cash-token,bchhalf,0.5X Long Bitcoin Cash Token
5,0-5x-long-bitcoin-sv-token,bsvhalf,0.5X Long Bitcoin SV Token
6,0-5x-long-bitcoin-token,half,0.5X Long Bitcoin Token
7,0-5x-long-cardano-token,adahalf,0.5X Long Cardano Token
8,0-5x-long-chainlink-token,linkhalf,0.5X Long Chainlink Token
9,0-5x-long-cosmos-token,atomhalf,0.5X Long Cosmos Token
10,0-5x-long-defi-index-token,defihalf,0.5X Long DeFi Index Token
11,0-5x-long-dogecoin-token,dogehalf,0.5X Long Dogecoin Token
12,0-5x-long-dragon-index-token,drgnhalf,0.5X Long Dragon Index Token
13,0-5x-long-echange-token-index-token,exchhalf,0.5X Long Exchange Token Index Token
14,0-5x-long-eos-token,eoshalf,0.5X Long EOS Token
15,0-5x-long-ethereum-classic-token,etchalf,0.5X Long Ethereum Classic Token
16,0-5x-long-ethereum-token,ethhalf,0.5X Long Ethereum Token
17,0-5x-long-kyber-network-token,knchalf,0.5X Long Kyber Network Token
18,0-5x-long-matic-token,matichalf,0.5X Long Matic Token
19,0-5x-long-midcap-index-token,midhalf,0.5X Long Midcap Index Token
20,0-5x-long-okb-token,OKBHALF,0.5X Long OKB Token
21,0-5x-long-pax-gold-token,PAXGHALF,0.5X Long PAX Gold Token
22,0-5x-long-privacy-index-token,privhalf,0.5X Long Privacy Index Token
23,0-5x-long-shitcoin-index-token,halfshit,0.5X Long Shitcoin Index Token
24,0-5x-long-swipe-token,sxphalf,0.5X Long Swipe Token
25,0-5x-long-tether-gold-token,xauthalf,0.5X Long Tether Gold Token
26,0-5x-long-tezos-token,xtzhalf,0.5X Long Tezos Token
27,0-5x-long-theta-network-token,thetahalf,0.5X Long Theta Network Token
28,0-5x-long-xrp-token,xrphalf,0.5X Long XRP Token
29,0cash,zch,0cash
30,0chain,zcn,0chain
31,0x,zrx,0x
32,0xcert,zxc,0xcert
33,0xmonero,0xmr,0xMonero
34,100x-coin,100x,100xCoin
35,10x-gg,xgg,10x.gg
36,12ships,TSHP,12Ships
37,1337,1337,Elite
38,1ai,1ai,1AI
39,1inch,1inch,1inch
40,1irstgold,1gold,1irstGold
41,1million-nfts,1mil,1MillionNFTs
42,1million-token,1mt,1Million Token
43,1world,1wo,1World
44,1x-long-btc-implied-volatility-token,bvol,Bitcoin Volatility Token
45,1x-short-algorand-token,algohedge,1X Short Algorand Token
46,1x-short-bitcoin-cash-token,bchhedge,1X Short Bitcoin Cash Token
47,1x-short-bitcoin-token,hedge,1X Short Bitcoin Token
48,1x-short-bnb-token,bnbhedge,1X Short BNB Token
49,1x-short-btc-implied-volatility,ibvol,Inverse Bitcoin Volatility Token
50,1x-short-cardano-token,adahedge,1X Short Cardano Token
51,1x-short-chainlink-token,LINKHEDGE,1X Short Chainlink Token
52,1x-short-compound-token-token,comphedge,1X Short Compound Token Token
53,1x-short-compound-usdt-token,cusdthedge,1X Short Compound USDT Token
54,1x-short-cosmos-token,atomhedge,1X Short Cosmos Token
55,1x-short-defi-index-token,defihedge,1X Short DeFi Index Token
56,1x-short-dogecoin-token,dogehedge,1X Short Dogecoin Token
57,1x-short-eos-token,eoshedge,1X Short EOS Token
58,1x-short-ethereum-token,ethhedge,1X Short Ethereum Token
59,1x-short-exchange-token-index-token,exchhedge,1X Short Exchange Token Index Token
60,1x-short-litecoin-token,ltchedge,1X Short Litecoin Token
61,1x-short-matic-token,matichedge,1X Short Matic Token
62,1x-short-okb-token,okbhedge,1X Short OKB Token
63,1x-short-privacy-index-token,privhedge,1X Short Privacy Index Token
64,1x-short-shitcoin-index-token,hedgeshit,1X Short Shitcoin Index Token
65,1x-short-swipe-token,sxphedge,1X Short Swipe Token
66,1x-short-tezos-token,xtzhedge,1X Short Tezos Token
67,1x-short-theta-network-token,thetahedge,1X Short Theta Network Token
68,1x-short-tomochain-token,tomohedge,1X Short TomoChain Token
69,1x-short-trx-token,trxhedge,1X Short TRX Token
70,1x-short-vechain-token,vethedge,1X Short VeChain Token
71,1x-short-xrp-token,xrphedge,1X Short XRP Token
72,2-2-4-4-8,2248,2+2=4+4=8
73,2acoin,arms,2ACoin
74,2based-finance,2based,2Based Finance
75,2gether-2,2gt,2gether
76,2give,2give,2GIVE
77,2goshi,2goshi,2GoShi
78,2key,2key,2key.network
79,2x2,2x2,2X2
80,300fit,fit,300FIT
81,3x-long-algorand-token,algobull,3X Long Algorand Token
82,3x-long-altcoin-index-token,altbull,3X Long Altcoin Index Token
83,3x-long-balancer-token,balbull,3X Long Balancer Token
84,3x-long-bilira-token,trybbull,3X Long BiLira Token
85,3x-long-bitcoin-cash-token,bchbull,3X Long Bitcoin Cash Token
86,3x-long-bitcoin-sv-token,bsvbull,3X Long Bitcoin SV Token
87,3x-long-bitcoin-token,bull,3X Long Bitcoin Token
88,3x-long-bitmax-token-token,btmxbull,3X Long BitMax Token Token
89,3x-long-bnb-token,bnbbull,3X Long BNB Token
90,3x-long-cardano-token,adabull,3X Long Cardano Token
91,3x-long-chainlink-token,linkbull,3X Long Chainlink Token
92,3x-long-compound-token-token,compbull,3X Long Compound Token Token
93,3x-long-compound-usdt-token,cusdtbull,3X Long Compound USDT Token
94,3x-long-cosmos-token,atombull,3X Long Cosmos Token
95,3x-long-defi-index-token,defibull,3X Long DeFi Index Token
96,3x-long-dogecoin-token,dogebull,3X Long Dogecoin Token
97,3x-long-dragon-index-token,drgnbull,3X Long Dragon Index Token
98,3x-long-eos-token,eosbull,3X Long EOS Token
99,3x-long-ethereum-classic-token,etcbull,3X Long Ethereum Classic Token
100,3x-long-ethereum-token,ethbull,3X Long Ethereum Token
101,3x-long-exchange-token-index-token,exchbull,3X Long Exchange Token Index Token
102,3x-long-huobi-token-token,htbull,3X Long Huobi Token Token
103,3x-long-kyber-network-token,kncbull,3X Long Kyber Network Token
